未标注数据：2500000	已标注数据：2500000
Party	2
diy	121
k歌	2049
party	86
shopping	20
上卫生间	58
上厕所	1952
上夜班	283
上大号	12
上大学	844
上学	10481
上小学	1061
上幼儿园	2013
上形体课	13
上洗手间	28
上火	431
上班	84748
上网	5464
上色	17321
上街	364
上课	1814
下午茶	157
下厨	468
下山	16
下棋	199
下楼玩	10
下海	47
下班	2057
下雨	22716
中暑	91
中考	132
串珠	981
乔迁	274
乘凉	116
乘车	28
书写	13089
买房	31
买花	2877
产检	92
仰卧	1518
伐木	179
休假	13
休息	4695
会客	68
住宾馆	29
住宿	2584
住宿舍	24
住校	199
住酒店	270
住院	305
体检	469
作画	133
便秘	2708
保健	1093
保养	1489
保养车子	11
保暖	6548
保洁	509
修剪	57
修手机	973
修指甲	212
修枝	54
修汽车	4
修甲	139
修电脑	58
修眉	5284
修空调	67
修脚	606
修自行车	35
修车	1642
修锁	27
修鞋	14
倒热水	5
倒立	119
倒车	3342
偏瘫	17
做三明治	201
做事	1035
做事情	10
做仰卧起坐	958
做作业	926
做保洁	12
做俯卧撑	150
做功课	35
做包子	244
做发型	284
做咖啡	99
做咖喱牛肉	12
做头发	384
做奶茶	210
做实验	90
做客	14
做家具	20
做家务	905
做寿司	807
做小吃	66
做布丁	270
做底料	5
做手工	3140
做手链	212
做护肤	37
做披萨	491
做拌饭	63
做指甲	1671
做按摩	183
做早餐	3415
做早饭	4
做月饼	261
做木工	25
做柜子	14
做柠檬醋	21
做榻榻米	11
做汉堡	13
做游戏	33
做满月酒	2
做火锅	217
做炒面	4
做点心	166
做烤鱼	50
做煎饼	280
做煎饼果子	50
做爱	601
做牛轧糖	442
做玉子烧	28
做瑜伽	1680
做甜品	309
做甜点	102
做电工	10
做直播	102
做相册	150
做眉毛	6
做石锅拌饭	25
做砂锅	21
做稀饭	81
做粉蒸肉	11
做粥	407
做糍粑	3
做糕点	64
做美发	50
做美容	297
做美甲	1193
做美食	98
做艾灸	398
做芋圆	535
做药膳	3
做菜	2702
做营养餐	11
做蛋糕	3419
做衣服	1047
做裤子	215
做西餐	51
做豆浆	294
做账	31
做足疗	26
做辅食	5708
做运动	1859
做酸奶	2274
做防水	125
做面	820
做面包	1674
做面条	430
做面食	302
做音乐	20
做题	1305
做食物	44
做饭	11521
做饭团	218
做饭菜	16
做饺子	101
做饼	932
做饼干	625
做馒头	380
做麻辣香锅	51
停电	1055
停车	659
健胃	51
健身	38201
催奶	181
催眠	3
充气	5745
充电	265044
上中学	6
下海玩	3
充饥	669
入住酒店	41
入学	60
养乌龟	56
养兔	32
养兔子	56
养发	232
养宝宝	149
养宠物	148
养小孩	12
养殖	85
养狗	417
养狗狗	178
养猫	530
养猫咪	40
养生	4485
养花	2322
养颜	30
养鱼	966
养鸽子	32
养鹦鹉	13
写东西	157
写书法	41
写作	1209
写信	126
写字	20308
写小楷	116
写文章	28
写日记	458
写生	207
写贺卡	89
军训	1761
冬泳	6
冲凉	355
冲洗	2925
冲浪	117
冲澡	88
冲锋	479
冻伤	2
准备礼物	18
减压	15
减肚腩	7
减肥	27481
减脂	486
减震	1428
出世	119
出去玩	49181
出去耍	59
出国	2758
出嫁	97
出差	20702
出月子	40
出海	42
出游	7647
会餐	1
伴舞	6
修摩托	4
做spa	4
做晚饭	14
做柠檬膏	5
做皮蛋粥	3
做药	18
出生	17272
出行	10763
出行旅游	70
出门	74991
击剑	11
切三文鱼	2
切丝	670
切寿司	15
切柠檬	196
切水果	3860
切瓜	94
切菜	4315
切辣椒	53
划船	158
创业	20
刨水果	10
刮头发	71
刮痧	4521
刮胡子	1468
刮脸	347
刮腿	111
刮鼻毛	13
制图	39
刷墙	224
刷油漆	14
刷牙	13997
刷睫毛膏	111
刷碗	849
刷车	529
刷锅	579
刷鞋	691
刷鞋子	140
刷马桶	259
刺绣	973
刻字	817
剃光头	184
剃头	1169
剃头发	610
剃毛	1902
剃胡子	236
削东西	29
削炭笔	13
削皮	1396
削笔	923
削苹果	193
剖宫产	13
剖腹产	12
剪发	484
剪头	709
剪头发	760
剪彩	18
剪手指甲	50
剪指甲	1799
剪枝	214
剪短发	28
剪纸	739
剪菜	29
剪鼻毛	121
办公	22490
乘船	2
任教	2
值班	2
做检查	8
做腊肉	4
办婚礼	23
办满月酒	18
动工	34
助学	16
劳动	10
包书皮	170
包包子	44
包寿司	66
包扎	19
包粽子	2108
包车	14
包饺子	967
化妆	55934
化眼妆	94
午休	6914
午睡	6973
卖萌	16
卧床	11
卷发	7020
卷头发	468
卸口红	217
卸妆	43160
卸眼妆	822
压腿	132
厨房	28120
去卫生间	40
去口臭	74
去唱歌	50
去学校	669
去幼儿园	31
去汗蒸	84
去油	5499
去浮潜	92
去爬山	1015
去眼袋	246
去约会	50
去脂肪粒	93
去钓鱼	4597
修剪植物	3
修家电	1
值夜	4
做床笠	5
住寝室	1
做书包	1
去除异味	540
去黑头	8521
参加婚礼	1155
参加宴会	191
参加活动	211
发泄	57
发烧	935
发球	55
发电	666
取暖	214
受伤	741
变魔术	29
叠被	34
吃东西	561
吃午餐	11
吃奶	1349
吃奶粉	280
吃早点	30
吃早餐	688
吃早饭	113
吃水果	2173
吃海鲜	74
吃火锅	1996
吃炒面	6
吃烤肉	377
吃烧烤	756
吃牛排	188
吃甜品	82
吃白粥	7
吃西餐	90
吃辅食	915
吃面包	447
吃饭	23620
吃饺子	341
吃饼干	389
吃馒头	87
同房	129
听小说	550
听录音	6
听歌	25138
听诊	80
听课	173
听音乐	7736
吸烟	87
吸黑头	1348
吹头发	1983
吹奏	28
吹空调	734
吹风	17266
咀嚼	27
和面	1005
咳嗽	792
品茶	2099
品酒	165
哄宝宝	49
哄小孩	82
哄睡觉	16
哺乳	23919
售票	310
唱戏	135
唱歌	7053
喂乌龟	70
喂奶	23103
喂宝宝	978
喂狗	265
喂药	1212
